animal_type,symptoms,disease_name,disease_category,recommended_medicines,Primary Intervention (First Aid),Secondary Intervention (Medical Therapy)
dog,"bloody diarrhea with foul smell, severe vomiting, lethargy, loss of appetite, dehydration, fever, weight loss",Parvovirus,Viral,"Parvo-C Injection (Parvovirus Antiserum), IV fluids, Metronidazole 250mg, Ondansetron 0.1mg/kg, Ampicillin-Sulbactam",Isolate immediately; keep warm with blankets; offer small amounts of electrolyte water (no food); prevent contact with other dogs.,"Antiserum therapy; Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Antimicrobial therapy (e.g., Metronidazole); Cephalosporin antibiotic therapy (e.g., Cephalexin). Final selection based on clinical assessment."
dog,"watery bloody stool in puppy, persistent vomiting, weakness, sunken eyes, pale gums, rapid heart rate",Parvovirus,Viral,"Canine Parvovirus Antiserum, Ringer's Lactate IV, Cerenia (Maropitant) 1mg/kg, Cefovecin Sodium",Isolate immediately; keep warm with blankets; offer small amounts of electrolyte water (no food); prevent contact with other dogs.,"Antiserum therapy; Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Antimicrobial therapy (e.g., Metronidazole); Cephalosporin antibiotic therapy (e.g., Cephalexin). Final selection based on clinical assessment."
dog,"sudden collapse in puppy, blood in vomit, extreme weakness, low body temperature, abdominal pain",Parvovirus,Viral,"Emergency IV fluids, Parvovirus Antiserum, Enrofloxacin 5mg/kg, Anti-emetics, Vitamin B complex",Isolate immediately; keep warm with blankets; offer small amounts of electrolyte water (no food); prevent contact with other dogs.,"Antiserum therapy; Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Antimicrobial therapy (e.g., Metronidazole); Cephalosporin antibiotic therapy (e.g., Cephalexin). Final selection based on clinical assessment."
dog,"foul-smelling hemorrhagic diarrhea in unvaccinated puppy, repetitive vomiting, rapid dehydration, cold paws",Parvovirus,Viral,"IV crystalloid fluids, Maropitant 1mg/kg, Ampicillin 22mg/kg TID, Parvovirus antiserum, Probiotics post-recovery",Isolate immediately; keep warm with blankets; offer small amounts of electrolyte water (no food); prevent contact with other dogs.,"Antiserum therapy; Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Antimicrobial therapy (e.g., Metronidazole); Cephalosporin antibiotic therapy (e.g., Cephalexin). Final selection based on clinical assessment."
dog,"white-grey vomit in 8-week old puppy, bloody liquid stool, complete anorexia, shivering, rapid weight loss",Parvovirus,Viral,"Hypertonic saline bolus, Parvovirus immunoglobulin, Ondansetron 0.1mg/kg IV, Enrofloxacin, Vitamin C supplementation",Isolate immediately; keep warm with blankets; offer small amounts of electrolyte water (no food); prevent contact with other dogs.,"Antiserum therapy; Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Antimicrobial therapy (e.g., Metronidazole); Cephalosporin antibiotic therapy (e.g., Cephalexin). Final selection based on clinical assessment."
dog,"sudden onset vomiting and diarrhea in puppy 3-4 days post-adoption, leukopenia on CBC, systemic depression",Parvovirus,Viral,"Human IV immunoglobulin (off-label), IV fluids, Cephalexin 22mg/kg, Maropitant, Dextrose supplementation",Isolate immediately; keep warm with blankets; offer small amounts of electrolyte water (no food); prevent contact with other dogs.,"Antiserum therapy; Fluid therapy (e.g., Crystalloid IV, Ringer's Lactate); Antimicrobial therapy (e.g., Metronidazole); Cephalosporin antibiotic therapy (e.g., Cephalexin). Final selection based on clinical assessment."
dog,"harsh dry hacking cough, goose-honk sound, retching after cough, mild fever, runny nose, sneezing",Kennel Cough,Bacterial/Viral,"Doxycycline 5mg/kg BID, Cough suppressant (Butorphanol), Bronchodilator (Theophylline), Bordetella vaccine booster",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Tetracycline antibiotic therapy (e.g., Doxycycline). Final selection based on clinical assessment."
dog,"persistent cough after boarding, nasal discharge, loss of appetite, exercise intolerance",Kennel Cough,Bacterial/Viral,"Amoxicillin-Clavulanate 12.5mg/kg, Honey-based cough syrup, Steam inhalation, Doxycycline",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Tetracycline antibiotic therapy (e.g., Doxycycline). Final selection based on clinical assessment."
dog,"coughing fits at night, gagging, white foamy discharge from mouth, lethargy",Kennel Cough,Bacterial/Viral,"Trimethoprim-Sulfa 15mg/kg, Nebulization with saline, Rest, Doxycycline 10mg/kg SID",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Tetracycline antibiotic therapy (e.g., Doxycycline). Final selection based on clinical assessment."
dog,"dry honking cough worsening with excitement, mild nasal discharge, normal appetite, young shelter dog",Kennel Cough,Bacterial/Viral,"Doxycycline 10mg/kg SID x 10 days, Intranasal Bordetella vaccine, Rest, Codeine-based cough syrup",Isolate the animal; keep warm and calm; offer small amounts of water to prevent dehydration; do not force-feed.,"Tetracycline antibiotic therapy (e.g., Doxycycline). Final selection based on clinical assessment."
